S.No,Date,DOW,Order Time,Order ID,Order KOT,Food Court,SiteName,VendorName,ItemName,Item Customization,Tax Category,Price,Customization Price,Quantity,ItemTotal,Discount,Tax,Final Price,Packing Charge,GST on Packing Charge,Status,OrderType,Delivery Charge,Payment Details,Order Platform
1,01-06-2023,Thursday,8:51:00 AM,#2416096,1716,iit - madras,IIT - Madras,Hotel Ananda,Idly 2 Pcs (50gms(each),,NON_MRP,22,0,1,22,0,1.1,23.1,5,0,YES,PICK_UP,0,"upi : 28.35,",APP
2,01-06-2023,Thursday,8:52:00 AM,#2416105,4091,iit - madras,IIT - Madras,Hotel Ananda,Masala Dosa (160gms),,NON_MRP,54,0,4,216,0,10.8,226.8,0,0,YES,DINE_IN,0,"upi : 538.65,",APP
3,01-06-2023,Thursday,8:52:00 AM,#2416105,4091,iit - madras,IIT - Madras,Hotel Ananda,Plain Dosa(120gms),,NON_MRP,51,0,2,102,0,5.1,107.1,0,,YES,DINE_IN,0,,APP
4,01-06-2023,Thursday,8:52:00 AM,#2416105,4091,iit - madras,IIT - Madras,Hotel Ananda,Onion Dosai (200gms),,NON_MRP,65,0,3,195,0,9.75,204.75,0,,YES,DINE_IN,0,,APP
5,01-06-2023,Thursday,8:56:00 AM,#2416129,9962,iit - madras,IIT - Madras,Hotel Ananda,Plain Dosa(120gms),,NON_MRP,51,0,1,51,0,2.55,53.55,0,0,YES,DINE_IN,0,"upi : 249.9,",APP
6,01-06-2023,Thursday,8:56:00 AM,#2416129,9962,iit - madras,IIT - Madras,Hotel Ananda,Onion Dosai (200gms),,NON_MRP,65,0,2,130,0,6.5,136.5,0,,YES,DINE_IN,0,,APP
7,01-06-2023,Thursday,8:56:00 AM,#2416129,9962,iit - madras,IIT - Madras,Hotel Ananda,Rava Dosai (180gms),,NON_MRP,57,0,1,57,0,2.85,59.85,0,,YES,DINE_IN,0,,APP
8,01-06-2023,Thursday,9:08:00 AM,#2416213,1013,iit - madras,IIT - Madras,Hotel Ananda,Masala Dosa (160gms),,NON_MRP,54,0,1,54,0,2.7,56.7,0,0,YES,DINE_IN,0,"upi : 106.05,",APP
9,01-06-2023,Thursday,9:08:00 AM,#2416213,1013,iit - madras,IIT - Madras,Hotel Ananda,Medhu Vada (40gms),,NON_MRP,17,0,1,17,0,0.85,17.85,0,,YES,DINE_IN,0,,APP
10,01-06-2023,Thursday,9:08:46 AM,#2416221,9347,iit - madras,IIT - Madras,Hotel Ananda,Pongal (250gms),,NON_MRP,45,0,1,45,0,2.25,47.25,0,0,YES,DINE_IN,0,"PHONEPE : 57.25,",POS
